,TrainA,TrainB,TrainC,TrainHC
316,2,8,0,-1
317,3,14,10,-1
318,9,7,5,-1
319,3,3,14,6
320,13,7,1,-1
321,2,13,0,-1
322,1,2,10,-1
323,11,5,10,-1
324,6,12,12,-1
325,3,5,5,-1
326,8,4,8,7
327,2,6,11,-1
328,0,0,14,-1
329,7,2,14,-1
330,4,5,3,-1
331,7,2,2,-1
332,13,11,3,-1
333,6,1,3,6
334,0,10,10,-1
335,13,7,10,-1
336,10,11,11,-1
337,11,7,14,-1
338,3,5,8,-1
339,1,6,13,-1
340,12,3,7,8
341,10,11,14,-1
342,13,9,11,-1
343,14,10,2,-1
344,11,7,0,-1
345,1,5,7,-1
346,3,7,6,-1
347,3,4,3,7
348,3,4,13,-1
349,14,10,1,-1
350,14,7,0,-1
351,5,12,3,-1
352,0,8,11,-1
353,6,7,6,-1
354,0,1,1,8
355,8,6,12,-1
356,9,9,10,-1
357,14,14,5,-1
358,8,9,10,-1
359,3,9,7,-1
360,13,0,8,-1
361,0,1,10,6
362,2,8,13,-1
363,11,5,7,-1
364,7,9,7,-1
365,11,14,5,-1
366,7,10,5,-1
367,7,9,6,-1
368,3,9,13,7
369,14,4,13,-1
370,10,2,4,-1
371,5,2,2,-1
372,14,5,3,-1
373,10,12,5,-1
374,3,14,0,-1
375,5,2,7,6
376,11,7,0,-1
377,14,12,9,-1
378,2,13,2,-1
379,7,3,13,-1
380,11,12,14,-1
381,12,9,5,-1
382,3,0,4,6
383,9,14,14,-1
384,1,5,14,-1
385,2,11,2,-1
386,9,13,14,-1
387,6,1,4,-1
388,10,3,2,-1
389,6,1,4,8
390,1,5,5,-1
391,8,3,10,-1
392,3,8,2,-1
393,9,4,6,-1
394,9,2,7,-1
395,12,2,1,-1
396,12,8,1,6
397,8,14,13,-1
398,0,2,9,-1
399,4,12,12,-1
400,2,10,13,-1
401,5,3,9,-1
402,2,0,0,-1
403,9,12,0,9
404,13,13,10,-1
405,12,4,9,-1
406,4,0,3,-1
407,9,2,0,-1
408,13,3,9,-1
409,14,12,9,-1
410,4,10,1,7
411,10,10,8,-1
412,8,5,14,-1
413,9,13,12,-1
414,1,8,13,-1
415,14,14,14,-1
416,11,2,5,-1
417,1,11,0,9
418,13,11,7,-1
419,2,6,1,-1
420,9,9,9,-1
421,6,2,5,-1
422,6,3,4,-1
423,10,10,14,-1
424,7,12,3,7
425,11,2,11,-1
426,9,14,1,-1
427,6,7,2,-1
428,13,1,8,-1
429,0,4,4,-1
430,7,0,2,-1
431,5,5,12,9
432,5,10,4,-1
433,14,7,14,-1
434,8,7,3,-1
435,9,0,5,-1
436,9,2,13,-1
437,5,3,7,-1
438,9,11,9,6
439,11,0,10,-1
440,2,1,4,-1
441,10,13,8,-1
442,12,5,10,-1
443,5,6,3,-1
444,4,13,5,-1
445,9,12,6,7
446,6,12,12,-1
447,6,4,13,-1
448,3,1,4,-1
449,5,3,3,-1
450,7,13,10,-1
451,11,10,1,-1
452,9,5,7,8
453,5,2,3,-1
454,14,6,10,-1
455,10,4,6,-1
456,9,0,14,-1
457,12,5,13,-1
458,3,2,2,-1
459,11,3,4,6
460,1,8,0,-1
461,8,11,7,-1
462,2,0,0,-1
463,9,0,14,-1
464,3,11,3,-1
465,0,0,4,-1
466,5,7,2,9
467,9,6,10,-1
468,5,7,3,-1
469,5,5,0,-1
470,8,3,9,-1
471,7,2,8,-1
472,14,3,1,-1
473,10,5,12,9
474,3,9,12,-1
475,10,11,5,-1
476,8,14,3,-1
477,1,3,10,-1
478,11,0,6,-1
479,14,0,10,-1
480,4,0,3,9
481,12,6,5,-1
482,1,0,12,-1
483,0,4,1,-1
484,0,13,11,-1
485,1,2,3,-1
486,14,14,0,-1
487,11,10,1,6
488,11,9,1,-1
489,2,12,1,-1
490,13,11,8,-1
491,8,13,13,-1
492,7,13,7,-1
493,0,14,6,-1
494,5,10,9,8
495,4,3,8,-1
496,10,8,14,-1
497,5,9,14,-1
498,12,3,2,-1
499,12,2,1,-1
500,0,6,1,-1
501,12,12,6,9
502,7,4,3,-1
503,3,3,8,-1
504,6,9,14,-1
505,10,11,1,-1
506,10,2,7,-1
507,9,5,9,-1
508,0,7,7,6
509,4,4,12,-1
510,2,1,14,-1
511,3,12,6,-1
512,8,10,3,-1
513,10,5,11,-1
514,0,6,13,-1
515,11,14,6,7
516,7,1,13,-1
517,6,5,12,-1
518,6,11,1,-1
519,8,6,7,-1
520,4,4,5,-1
521,13,1,13,-1
522,9,2,5,7
523,12,11,1,-1
524,6,11,5,-1
525,8,4,8,-1
526,4,9,6,-1
527,10,4,3,-1
528,5,9,3,-1
529,1,8,6,7
530,9,12,5,-1
531,3,11,9,-1
532,6,8,3,-1
533,3,0,14,-1
534,6,14,3,-1
535,7,4,3,-1
536,9,11,8,8
537,13,1,8,-1
538,14,10,0,-1
539,9,6,9,-1
540,9,5,8,-1
541,11,8,3,-1
542,9,5,5,-1
543,0,6,13,9
544,11,2,10,-1
545,12,1,12,-1
546,3,4,12,-1
547,14,13,2,-1
548,7,2,14,-1
549,13,11,13,-1
550,11,2,1,6
551,0,14,14,-1
552,8,3,11,-1
553,10,13,6,-1
554,7,10,14,-1
555,2,4,13,-1
556,7,14,1,-1
557,0,9,14,7
558,9,3,3,-1
559,14,12,1,-1
560,2,14,6,-1
561,6,13,10,-1
562,7,2,13,-1
563,12,3,5,-1
564,14,3,1,6
565,8,1,11,-1
566,0,12,4,-1
567,6,3,10,-1
568,5,14,14,-1
569,3,12,6,-1
570,2,11,2,-1
571,11,11,0,9
572,13,9,0,-1
573,10,6,2,-1
574,13,5,1,-1
575,5,12,10,-1
576,3,9,2,-1
577,4,3,8,-1
578,14,12,14,9
579,4,14,5,-1
580,6,1,11,-1
581,2,2,13,-1
582,5,1,10,-1
583,13,9,2,-1
584,12,4,4,-1
585,4,14,11,9
586,10,14,3,-1
587,12,13,8,-1
588,6,12,8,-1
589,9,4,2,-1
590,0,9,3,-1
591,9,2,6,-1
592,2,7,6,8
593,0,3,10,-1
594,13,6,11,-1
595,6,2,0,-1
596,9,3,13,-1
597,0,8,8,-1
598,9,11,9,-1
599,1,11,3,7
600,5,12,7,-1
601,3,13,9,-1
602,9,0,0,-1
603,2,6,10,-1
604,14,7,12,-1
605,14,2,7,-1
606,10,12,5,7
607,13,9,5,-1
608,5,13,3,-1
609,8,1,9,-1
610,4,6,5,-1
611,9,6,8,-1
612,3,4,2,-1
613,0,7,7,9
614,12,12,10,-1
615,7,10,9,-1
616,3,5,7,-1
617,13,11,13,-1
618,7,13,1,-1
619,4,4,12,-1
620,5,1,14,8
621,3,2,7,-1
622,0,7,2,-1
623,7,7,6,-1
624,2,1,5,-1
625,10,5,9,-1
626,5,9,8,-1
627,4,3,12,7
628,6,12,12,-1
629,12,11,12,-1
630,4,13,13,-1
631,0,11,3,-1
632,6,5,0,-1
633,12,6,6,-1
634,1,14,4,9
635,12,13,3,-1
636,7,7,13,-1
637,6,7,2,-1
638,13,3,14,-1
639,0,6,1,-1
640,11,9,12,-1
641,14,6,13,7
642,13,2,0,-1
643,10,13,5,-1
644,12,14,9,-1
645,9,2,7,-1
646,1,13,3,-1
647,7,0,0,-1
648,14,9,9,9
649,10,0,3,-1
650,7,12,9,-1
651,13,3,6,-1
652,8,5,5,-1
653,7,6,6,-1
654,12,12,7,-1
655,14,13,4,6
656,13,2,11,-1
657,12,1,12,-1
658,10,12,13,-1
659,14,2,2,-1
660,6,4,1,-1
661,3,11,13,-1
662,5,6,8,7
663,8,11,12,-1
664,7,13,7,-1
665,7,2,8,-1
666,11,10,0,-1
667,2,14,14,-1
668,12,6,0,-1
669,2,1,9,9
670,14,0,0,-1
671,6,12,7,-1
672,2,12,0,-1
673,13,1,12,-1
674,7,0,2,-1
675,1,6,2,-1
676,14,0,6,8
677,0,10,10,-1
678,12,2,2,-1
679,13,5,13,-1
680,4,12,5,-1
681,4,4,2,-1
682,1,6,6,-1
683,3,14,14,7
684,12,4,3,-1
685,11,9,4,-1
686,7,10,10,-1
687,6,13,13,-1
688,10,8,11,-1
689,2,0,1,-1
690,7,4,0,9
691,1,5,5,-1
692,4,6,9,-1
693,3,4,12,-1
694,1,14,6,-1
695,10,5,8,-1
696,3,8,7,-1
697,6,8,3,8
698,13,4,1,-1
699,7,1,11,-1
700,12,14,12,-1
701,6,7,9,-1
702,9,1,9,-1
703,6,7,5,-1
704,9,4,9,6
705,13,2,14,-1
706,10,1,4,-1
707,14,6,4,-1
708,8,7,14,-1
709,13,12,11,-1
710,11,14,13,-1
711,0,6,10,7
712,2,4,9,-1
713,14,0,10,-1
714,12,11,8,-1
715,4,5,6,-1
716,11,5,13,-1
717,5,14,8,-1
718,9,14,14,9
719,5,11,9,-1
720,12,4,4,-1
721,1,8,5,-1
722,5,7,2,-1
723,6,6,14,-1
724,8,9,8,-1
725,14,1,13,7
726,8,9,4,-1
727,13,5,9,-1
728,9,12,6,-1
729,8,10,11,-1
730,10,5,12,-1
731,10,5,6,-1
732,14,9,0,8
733,10,5,2,-1
734,9,3,8,-1
735,8,6,13,-1
736,13,11,4,-1
737,0,4,10,-1
738,3,0,13,-1
739,2,5,12,6
740,5,4,11,-1
741,1,1,4,-1
742,10,3,2,-1
743,13,14,3,-1
744,10,12,13,-1
745,5,14,13,-1
746,10,14,10,9
747,3,14,4,-1
748,7,3,8,-1
749,8,9,14,-1
750,11,9,1,-1
751,3,4,6,-1
752,2,7,5,-1
753,11,9,10,6
754,0,3,13,-1
755,14,9,7,-1
756,10,6,2,-1
757,8,1,1,-1
758,11,10,11,-1
759,8,5,10,-1
760,13,3,2,7
761,6,14,4,-1
762,12,12,7,-1
763,2,7,7,-1
764,0,9,12,-1
765,11,1,2,-1
766,14,13,9,-1
767,12,11,14,9
768,10,6,9,-1
769,2,9,0,-1
770,8,1,6,-1
771,11,8,12,-1
772,2,13,6,-1
773,7,1,14,-1
774,9,7,10,6
775,5,5,8,-1
776,3,9,14,-1
777,0,2,8,-1
778,12,12,0,-1
779,1,9,10,-1
780,4,5,14,-1
781,11,14,2,9
782,4,2,12,-1
783,11,4,7,-1
784,14,10,8,-1
785,3,7,10,-1
786,0,0,1,-1
787,0,0,13,-1
788,2,3,7,9
789,3,6,0,-1
790,6,0,12,-1
791,6,7,4,-1
792,11,7,7,-1
793,6,3,14,-1
794,7,5,7,-1
795,8,5,12,9
796,8,3,9,-1
797,7,6,14,-1
798,8,14,3,-1
799,6,7,12,-1
800,7,9,8,-1
801,0,12,0,-1
802,9,4,10,7
803,7,14,10,-1
804,11,2,1,-1
805,1,9,5,-1
806,7,3,2,-1
807,5,7,11,-1
808,13,4,7,-1
809,4,7,0,9
810,1,8,4,-1
811,11,10,14,-1
812,12,6,5,-1
813,1,12,13,-1
814,4,2,9,-1
815,11,3,11,-1
816,4,14,9,6
817,2,9,9,-1
818,14,14,0,-1
819,13,13,1,-1
820,10,5,14,-1
821,6,5,11,-1
822,6,3,13,-1
823,10,6,7,9
824,3,5,4,-1
825,2,8,1,-1
826,13,0,3,-1
827,7,1,0,-1
828,8,5,2,-1
829,4,7,11,-1
830,4,11,11,9
831,13,0,9,-1
832,1,13,10,-1
833,5,7,12,-1
834,3,8,6,-1
835,13,4,2,-1
836,7,3,2,-1
837,4,10,7,9
838,7,0,13,-1
839,7,0,4,-1
840,13,4,2,-1
841,4,8,6,-1
842,2,7,2,-1
843,7,0,10,-1
844,4,10,7,9
845,9,12,4,-1
846,12,1,8,-1
847,11,13,8,-1
848,5,14,13,-1
849,2,12,5,-1
850,13,2,13,-1
851,6,3,0,6
852,12,6,11,-1
853,6,4,7,-1
854,2,6,2,-1
855,2,9,13,-1
856,0,14,13,-1
857,12,4,5,-1
858,3,10,8,8
859,8,3,2,-1
860,7,6,11,-1
861,1,0,8,-1
862,12,4,12,-1
863,10,0,2,-1
864,11,7,0,-1
865,12,8,10,6
866,10,7,3,-1
867,4,6,13,-1
868,12,1,11,-1
869,12,0,11,-1
870,12,10,14,-1
871,14,3,2,-1
872,7,14,1,7
873,11,13,9,-1
874,11,8,6,-1
875,14,3,0,-1
876,9,7,2,-1
877,6,9,14,-1
878,7,13,7,-1
879,9,3,9,8
880,3,9,6,-1
881,10,6,3,-1
882,4,6,4,-1
883,7,3,5,-1
884,4,7,4,-1
885,14,8,2,-1
886,8,13,6,8
887,4,6,10,-1
888,7,6,0,-1
889,0,9,1,-1
890,9,1,3,-1
891,9,2,12,-1
892,6,5,12,-1
893,1,7,9,8
894,0,10,1,-1
895,10,2,10,-1
896,13,3,4,-1
897,0,9,12,-1
898,13,14,7,-1
899,4,5,1,-1
900,14,1,11,6
901,14,0,6,-1
902,6,11,11,-1
903,10,3,0,-1
904,4,6,12,-1
905,7,14,4,-1
906,3,10,1,-1
907,14,4,6,6
908,4,4,2,-1
909,8,4,0,-1
910,14,10,5,-1
911,0,9,13,-1
912,10,14,8,-1
913,12,0,0,-1
914,4,11,0,7
915,13,12,8,-1
916,7,9,11,-1
917,7,4,12,-1
918,9,11,7,-1
919,1,9,13,-1
920,4,7,4,-1
921,8,14,12,9
922,2,9,3,-1
923,9,3,5,-1
924,5,6,6,-1
925,0,1,11,-1
926,1,12,1,-1
927,7,11,2,-1
928,12,12,13,6
929,5,4,4,-1
930,8,2,11,-1
931,9,2,8,-1
932,10,0,10,-1
933,10,2,12,-1
934,10,13,10,-1
935,1,11,12,6
936,5,13,6,-1
937,8,9,4,-1
938,8,1,9,-1
939,13,7,10,-1
940,12,1,1,-1
941,7,13,14,-1
942,4,7,5,6
943,8,6,12,-1
944,1,3,4,-1
945,8,2,7,-1
946,8,9,14,-1
947,9,2,8,-1
948,0,11,7,-1
949,4,2,6,7
950,5,10,13,-1
951,7,4,5,-1
952,10,13,8,-1
953,2,6,1,-1
954,6,7,4,-1
955,1,12,9,-1
956,8,0,14,9
957,0,5,4,-1
958,3,14,10,-1
959,10,2,5,-1
960,12,1,13,-1
961,7,9,14,-1
962,11,13,10,-1
963,7,0,9,6
964,14,0,6,-1
965,13,0,4,-1
966,7,3,7,-1
967,0,8,11,-1
968,6,13,14,-1
969,14,12,8,-1
970,1,11,1,8
971,4,11,13,-1
972,14,2,9,-1
973,7,10,8,-1
974,11,4,1,-1
975,3,7,3,-1
976,1,9,1,-1
977,2,1,3,8
978,8,7,7,-1
979,3,9,10,-1
980,1,8,5,-1
981,6,10,9,-1
982,5,3,0,-1
983,1,13,14,-1
984,8,12,1,9
985,7,9,6,-1
986,12,5,1,-1
987,11,1,3,-1
988,13,4,9,-1
989,2,13,3,-1
990,8,5,0,-1
991,9,5,1,9
992,5,4,9,-1
993,3,5,6,-1
994,1,6,6,-1
995,12,0,1,-1
996,14,9,4,-1
997,10,3,9,-1
998,3,9,4,7
999,2,3,11,-1
1000,14,5,4,-1
1001,5,0,13,-1
1002,1,14,3,-1
1003,6,2,8,-1
1004,2,12,7,-1
1005,14,10,1,9
1006,1,3,7,-1
1007,13,8,5,-1
1008,2,12,8,-1
1009,12,6,11,-1
1010,13,2,2,-1
1011,11,9,2,-1
1012,7,8,4,7
1013,13,13,6,-1
1014,11,8,14,-1
1015,13,11,6,-1
1016,6,6,9,-1
1017,1,0,1,-1
1018,14,5,3,-1
1019,5,9,4,6
1020,8,11,3,-1
1021,0,11,4,-1
1022,7,6,1,-1
1023,8,9,2,-1
1024,13,13,10,-1
1025,9,8,12,-1
1026,6,11,1,7
1027,12,5,12,-1
1028,8,6,6,-1
1029,14,12,9,-1
1030,9,2,2,-1
1031,6,0,11,-1
1032,11,12,8,-1
1033,14,8,9,9
1034,9,14,9,-1
1035,1,4,7,-1
1036,8,4,10,-1
1037,6,5,4,-1
1038,12,13,10,-1
1039,14,11,0,-1
1040,11,4,11,8
1041,10,1,1,-1
1042,10,13,8,-1
1043,11,0,2,-1
1044,4,4,6,-1
1045,4,3,9,-1
1046,12,13,9,-1
1047,4,1,12,8
1048,1,7,3,-1
1049,7,6,5,-1
1050,7,1,0,-1
1051,7,9,2,-1
1052,10,9,7,-1
1053,6,11,12,-1
1054,4,14,11,8
1055,9,6,9,-1
1056,6,7,8,-1
1057,4,12,11,-1
1058,14,13,8,-1
1059,9,8,14,-1
1060,14,0,4,-1
1061,8,6,9,7
1062,10,4,1,-1
1063,7,2,5,-1
1064,12,10,12,-1
1065,12,6,8,-1
1066,9,2,3,-1
1067,7,12,14,-1
1068,10,11,4,6
1069,11,7,2,-1
1070,10,13,1,-1
1071,8,5,14,-1
1072,9,3,11,-1
1073,11,12,6,-1
1074,9,1,6,-1
1075,12,7,9,6
1076,11,13,11,-1
1077,6,13,7,-1
1078,6,1,3,-1
1079,8,4,0,-1
1080,5,3,5,-1
1081,1,4,0,-1
1082,13,12,7,6
1083,1,3,1,-1
1084,1,6,5,-1
1085,8,7,4,-1
1086,2,1,9,-1
1087,11,8,14,-1
1088,1,13,3,-1
1089,12,6,14,7
1090,13,0,14,-1
1091,2,6,14,-1
1092,10,13,0,-1
1093,1,12,14,-1
1094,11,1,4,-1
1095,0,9,5,-1
1096,14,1,7,6
1097,8,11,1,-1
1098,8,4,6,-1
1099,13,9,10,-1
1100,6,7,7,-1
1101,9,11,1,-1
1102,12,13,9,-1
1103,5,2,2,6
1104,1,14,7,-1
1105,1,6,14,-1
1106,1,8,3,-1
1107,1,7,7,-1
1108,11,8,9,-1
1109,12,2,0,-1
1110,0,8,10,9
1111,5,8,10,-1
1112,0,7,4,-1
1113,13,4,6,-1
1114,6,12,0,-1
1115,8,2,1,-1
1116,0,0,7,-1
1117,1,14,6,6
1118,6,7,14,-1
1119,3,13,10,-1
1120,13,1,7,-1
1121,10,4,12,-1
1122,9,10,7,-1
1123,4,12,9,-1
1124,2,6,3,8
1125,2,9,4,-1
1126,8,0,0,-1
1127,5,9,0,-1
1128,9,11,11,-1
1129,7,14,13,-1
1130,0,1,12,-1
1131,13,7,11,9
1132,13,12,6,-1
1133,10,2,4,-1
1134,5,12,8,-1
1135,3,4,9,-1
1136,11,5,0,-1
1137,8,11,4,-1
1138,7,14,7,9
1139,1,0,7,-1
1140,13,2,9,-1
1141,9,1,1,-1
1142,1,7,5,-1
1143,10,5,0,-1
1144,0,10,11,-1
1145,11,10,2,7
1146,11,7,5,-1
1147,9,8,1,-1
1148,3,9,13,-1
1149,6,5,1,-1
1150,2,12,10,-1
1151,5,8,13,-1
1152,9,2,2,9
1153,10,6,1,-1
1154,9,0,11,-1
1155,8,9,8,-1
1156,9,8,4,-1
1157,2,13,8,-1
1158,11,14,1,-1
1159,12,0,2,6
1160,0,5,5,-1
1161,5,11,14,-1
1162,4,6,10,-1
1163,9,7,10,-1
1164,14,0,12,-1
1165,8,11,14,-1
1166,7,1,3,7
1167,4,0,10,-1
1168,3,0,7,-1
1169,8,0,13,-1
1170,4,9,5,-1
1171,14,8,2,-1
1172,2,10,1,-1
1173,6,0,11,6
1174,9,0,0,-1
1175,1,7,10,-1
1176,7,9,14,-1
1177,10,7,0,-1
1178,14,6,14,-1
1179,8,5,4,-1
1180,0,8,5,7
1181,11,5,7,-1
1182,11,11,1,-1
1183,2,6,14,-1
1184,8,10,2,-1
1185,8,10,6,-1
1186,0,7,0,-1
1187,14,8,5,6
1188,0,13,13,-1
1189,7,5,2,-1
1190,3,9,13,-1
1191,8,7,13,-1
1192,13,4,12,-1
1193,13,9,14,-1
1194,8,10,5,8
1195,6,5,0,-1
1196,10,14,14,-1
1197,13,2,1,-1
1198,13,2,11,-1
1199,6,0,13,-1
1200,11,7,7,-1
1201,5,3,0,9
1202,11,11,7,-1
1203,13,5,7,-1
1204,11,14,14,-1
1205,0,10,4,-1
1206,13,5,2,-1
1207,13,5,0,-1
1208,3,12,1,9
1209,8,9,11,-1
1210,1,12,1,-1
1211,14,2,0,-1
1212,3,14,0,-1
1213,8,11,4,-1
1214,4,8,10,-1
1215,4,11,2,8
1216,12,7,14,-1
1217,11,0,11,-1
1218,3,4,9,-1
1219,1,6,1,-1
1220,7,7,8,-1
1221,4,4,4,-1
1222,7,14,3,6
1223,1,6,3,-1
1224,1,13,14,-1
1225,13,3,0,-1
1226,7,3,2,-1
1227,13,1,10,-1
1228,0,3,3,-1
1229,14,14,12,8
1230,13,3,11,-1
1231,2,4,4,-1
1232,4,1,5,-1
1233,5,7,11,-1
1234,2,1,10,-1
1235,5,3,6,-1
1236,10,8,8,8
1237,4,0,13,-1
1238,14,11,10,-1
1239,1,2,8,-1
1240,7,11,4,-1
1241,4,0,9,-1
1242,3,2,10,-1
1243,0,12,12,8
1244,10,7,7,-1
1245,14,7,9,-1
1246,7,9,9,-1
1247,11,5,5,-1
1248,3,12,14,-1
1249,13,10,9,-1
1250,7,1,14,9
1251,13,2,4,-1
1252,8,13,0,-1
1253,4,8,8,-1
1254,7,12,2,-1
1255,4,1,11,-1
1256,5,3,11,-1
1257,13,9,2,7
1258,10,3,12,-1
1259,3,1,1,-1
1260,12,7,7,-1
